Version,Timestamp,Score,MaxTile,TimeSpent,TurnsPerSecond,TurnsTotal,Down %,Right %,Up %,Left %,Garden,Note
0.1.6,16May2014 21:43:04,16200,1024,06:50,2.33,957,0.2,25.9,48.6,25.3,[32 256 512 1024 - 4 32 128 64 - 16 8 16 2 - 2 4 2 8],tim's build
0.1.6,16May2014 21:46:26,7592,512,03:21,2.65,532,0.0,25.8,45.7,28.6,[32 512 256 64 - 16 64 128 32 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 21:52:40,16668,1024,06:13,2.68,998,0.1,24.9,46.3,28.7,[1024 512 2 32 - 64 128 256 64 - 16 64 8 4 - 2 8 4 2],tim's build
0.1.6,16May2014 21:57:51,12812,1024,05:10,2.52,782,0.1,27.2,48.0,24.7,[128 4 256 64 - 64 1024 64 32 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 22:02:15,12264,1024,04:23,2.76,726,0.3,28.1,48.5,23.1,[1024 256 2 32 - 32 64 128 16 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 22:06:33,9396,512,04:17,2.49,641,0.0,27.8,47.4,24.8,[256 512 256 64 - 32 128 64 32 - 64 8 4 2 - 2 4 2 4],tim's build
0.1.6,16May2014 22:11:32,14172,1024,04:58,2.74,818,0.2,26.5,47.8,25.4,[16 512 128 8 - 2 8 1024 32 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 22:17:35,16392,1024,06:03,2.67,968,0.1,28.1,47.2,24.6,[64 256 2 1024 - 16 32 512 64 - 8 16 128 16 - 2 4 8 2],tim's build
0.1.6,16May2014 22:23:01,13252,1024,05:25,2.51,816,0.1,25.1,49.3,25.5,[64 2 256 128 - 32 128 1024 64 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 22:33:19,27416,2048,10:16,2.31,1425,0.1,26.5,48.7,24.8,[64 256 2 2048 - 16 128 512 64 - 32 16 2 8 - 2 4 8 4],tim's build
0.1.6,16May2014 22:38:48,14500,1024,05:28,2.6,854,0.1,26.9,47.1,25.9,[4 512 128 32 - 16 2 1024 64 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 22:43:31,12964,1024,04:42,2.77,780,0.1,25.1,45.4,29.4,[128 256 128 32 - 32 64 1024 8 - 4 8 32 4 - 2 4 8 2],tim's build
